,X,Y,OBJECTID,CONV_ID,NAME,CITY,STATE,TELEPHONE,TYPE,STATUS,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_DATE,WEBSITE,COMPLEXNM,FORMERNM,YEARCHNG,FIXED_STS,BALLROOM,EXHIBIT,LOBBY,MAIN_FLOOR,OUTDOOR,PRE_FUNCT,MEET_ROOMS
10,-13166976.4326,4031988.0939,11,396,SHRINE AUDITORIUM AND EXPO HALL,LOS ANGELES,CA,(213) 748-5116,CONVENTION CENTER,OPEN,LOS ANGELES,6037,USA,34.0237245153742,-118.280961750684,561920,CONVENTION AND TRADE SHOW ORGANIZERS,http://www.shrineauditorium.com/,2015/10/21 00:00:00+00,2018/10/23 00:00:00+00,http://www.shrineauditorium.com/rental-info/venues,NOT APPLICABLE,NOT AVAILABLE,NOT AVAILABLE,Y,N,Y,Y,N,N,N,N
11,-13190181.0155,4030021.3514,12,597,SANTA MONICA CIVIC AUDITORIUM,SANTA MONICA,CA,(310) 458-4924,CONVENTION CENTER,OPEN,LOS ANGELES,6037,USA,34.0090802825291,-118.489412065314,561920,CONVENTION AND TRADE SHOW ORGANIZERS,https://www.smgov.net/departments/ccs/civicauditorium/,2015/10/21 00:00:00+00,2018/10/23 00:00:00+00,https://www.smgov.net/Departments/CCS/Places%20Parks%20Beach/Civic%20Auditorium/Rent%20the%20Civic/Rent%20the%20Civic.aspx,NOT APPLICABLE,NOT AVAILABLE,NOT AVAILABLE,Y,N,Y,Y,N,Y,N,Y
12,-13180517.8716,4030538.9685,13,291,VETERANS MEMORIAL BUILDING,CULVER CITY,CA,(310) 253-6625,CONVENTION CENTER,OPEN,LOS ANGELES,6037,USA,34.0129346697993,-118.402606566939,561920,CONVENTION AND TRADE SHOW ORGANIZERS,https://www.culvercity.org/city-hall/information/facility-rentals/veterans-memorial-building-rentals,2015/10/21 00:00:00+00,2018/10/23 00:00:00+00,https://www.culvercity.org/city-hall/information/facility-rentals/veterans-memorial-building-rentals,NOT APPLICABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y,N,N,Y,N,N,Y
13,-13151875.5241,4048122.3236,14,455,EXHIBIT HALL AND BALLROOM,PASADENA,CA,(626) 795-9311,CONVENTION CENTER COMPLEX,OPEN,LOS ANGELES,6037,USA,34.1437634830128,-118.145307981314,561920,CONVENTION AND TRADE SHOW ORGANIZERS,https://pasadenacenter.visitpasadena.com/,2015/10/21 00:00:00+00,2018/10/23 00:00:00+00,https://pasadenacenter.visitpasadena.com/facility/,PASADENA CONVENTION CENTER,NOT AVAILABLE,NOT AVAILABLE,N,Y,Y,N,N,N,N,N
14,-13161492.592,4051169.1194,15,326,GLENDALE CIVIC AUDITORIUM,GLENDALE,CA,(818) 548-2787,CONVENTION CENTER,OPEN,LOS ANGELES,6037,USA,34.166412591568,-118.231699572577,561920,CONVENTION AND TRADE SHOW ORGANIZERS,https://www.glendalecivic.com/,2015/10/21 00:00:00+00,2018/10/23 00:00:00+00,https://www.glendalecivic.com/,NOT APPLICABLE,NOT AVAILABLE,NOT AVAILABLE,N,N,Y,N,N,N,N,Y
15,-13524000.8805,4661447.7705,16,540,SAFE CREDIT UNION CONVENTION CENTER,SACRAMENTO,CA,(916) 808-5291,CONVENTION CENTER COMPLEX,OPEN,SACRAMENTO,6067,USA,38.5783165013056,-121.488166933557,561920,CONVENTION AND TRADE SHOW ORGANIZERS,http://www.sacramentoconventioncenter.com/,2015/10/23 00:00:00+00,2020/01/07 00:00:00+00,http://www.sacramentoconventioncenter.com/,SAFE CREDIT UNION CONVENTION AND PERFORMING ARTS DISTRICT,SACRAMENTO CONVENTION CENTER,2019,N,Y,Y,Y,N,N,N,Y
16,-13517483.0479,4663162.8526,17,542,PAVILION,SACRAMENTO,CA,(916) 263-3000,CONVENTION CENTER COMPLEX,OPEN,SACRAMENTO,6067,USA,38.5903598929947,-121.429616247991,561920,CONVENTION AND TRADE SHOW ORGANIZERS,http://calexpo.com/,2015/10/23 00:00:00+00,2018/10/23 00:00:00+00,http://calexpo.com/pavilion/,CAL EXPO,NOT AVAILABLE,NOT AVAILABLE,N,N,Y,N,N,N,N,N
17,-8574181.1351,4708080.6144,18,854,WALTER E. WASHINGTON CONVENTION CENTER,WASHINGTON,DC,(202) 249-3000,CONVENTION CENTER,OPEN,DISTRICT OF COLUMBIA,11001,USA,38.9050549153523,-77.02317962444,561920,CONVENTION AND TRADE SHOW ORGANIZERS,http://www.dcconvention.com/Venues/ConventionCenter.aspx,2015/06/05 00:00:00+00,2018/10/25 00:00:00+00,http://www.dcconvention.com/Attachments/Convention-Center/Floorplans-Apr2011.aspx,NOT APPLICABLE,WASHINGTON CENVENTION CENTER,2007,N,Y,Y,Y,N,N,N,Y
18,-8574159.7903,4707732.1124,19,853,CARNEGIE LIBRARY AT MOUNT VERNON SQUARE,WASHINGTON,DC,(202) 249-3000,CONVENTION CENTER,OPEN,DISTRICT OF COLUMBIA,11001,USA,38.9026186420369,-77.0229878808859,561920,CONVENTION AND TRADE SHOW ORGANIZERS,http://www.dcconvention.com/Venues/CarnegieLibrary.aspx,2015/06/05 00:00:00+00,2018/10/25 00:00:00+00,http://www.dcconvention.com/Venues/CarnegieLibrary.aspx,NOT APPLICABLE,NOT AVAILABLE,NOT AVAILABLE,Y,N,N,N,N,Y,N,Y
19,-8568882.6036,4705713.3862,20,850,DC ARMORY,WASHINGTON,DC,(202) 249-3000,CONVENTION CENTER,OPEN,DISTRICT OF COLUMBIA,11001,USA,38.8885046899396,-76.9755821067287,561920,CONVENTION AND TRADE SHOW ORGANIZERS,http://www.dcconvention.com/Venues/DCArmory.aspx,2015/06/05 00:00:00+00,2018/10/25 00:00:00+00,http://www.dcconvention.com/Venues/DCArmory/Event-Space.aspx,NOT APPLICABLE,DC NATIONAL GUARD ARMORY,NOT AVAILABLE,Y,N,N,N,Y,N,N,N
20,-8575007.0958,4706475.6993,21,848,RONALD REAGAN BUILDING AND INTERNATIONAL TRADE CENTER,WASHINGTON,DC,(202) 849-7895,CONVENTION CENTER,OPEN,DISTRICT OF COLUMBIA,11001,USA,38.8938347423795,-77.0305993559754,561920,CONVENTION AND TRADE SHOW ORGANIZERS,https://itcdc.com/,2015/11/04 00:00:00+00,2018/10/25 00:00:00+00,https://itcdc.com/event-spaces/,NOT APPLICABLE,NOT AVAILABLE,NOT AVAILABLE,Y,Y,N,Y,N,Y,N,Y
21,-9091648.6534,3545747.8635,22,913,PRIME F. OSBORN III CONVENTION CENTER,JACKSONVILLE,FL,(904) 630-4000,CONVENTION CENTER,OPEN,DUVAL,12031,USA,30.3277411657222,-81.6716694321985,561920,CONVENTION AND TRADE SHOW ORGANIZERS,http://www.primefosborn.com/,2016/02/26 00:00:00+00,2018/10/25 00:00:00+00,http://www.primefosborn.com/p/book/312,NOT APPLICABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y,Y,Y,N,Y,Y,Y
22,-9075518.1651,3539237.5381,23,915,MOROCCO SHRINE AUDITORIUM,JACKSONVILLE,FL,(904) 642-5200,CONVENTION CENTER,OPEN,DUVAL,12031,USA,30.2772482770865,-81.5267667898554,561920,CONVENTION AND TRADE SHOW ORGANIZERS,https://moroccoshrine.org/,2015/06/29 00:00:00+00,2018/10/25 00:00:00+00,https://moroccoshrine.org/rental-facilities/,NOT APPLICABLE,NOT AVAILABLE,NOT AVAILABLE,N,N,Y,N,N,N,N,Y
23,-9168556.7385,3247805.3356,24,1011,EXPO HALL,TAMPA,FL,(813) 621-7821,MULTIUSE COMPLEX,OPEN,HILLSBOROUGH,12057,USA,27.9907318293676,-82.3625465149025,561920,CONVENTION AND TRADE SHOW ORGANIZERS,http://www.floridastatefair.com/,2015/06/30 00:00:00+00,2019/08/29 00:00:00+00,https://www.floridastatefair.com/p/book-an-event/book-your-event,FLORIDA STATE FAIRGROUNDS,NOT AVAILABLE,NOT AVAILABLE,N,N,Y,N,N,N,N,Y
24,-9179040.4323,3241648.1583,25,1010,TAMPA CONVENTION CENTER,TAMPA,FL,(813) 274-8511,CONVENTION CENTER,OPEN,HILLSBOROUGH,12057,USA,27.9418799744813,-82.4567231388617,561920,CONVENTION AND TRADE SHOW ORGANIZERS,http://www.tampaconventioncenter.com/,2015/06/30 00:00:00+00,2018/10/29 00:00:00+00,https://www.tampagov.net/tcc/facility-planner,NOT APPLICABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y,Y,N,N,Y,Y,Y
25,-9069150.8791,3302628.6404,26,967,ORANGE COUNTY CONVENTION CENTER - WEST CONCOURSE,ORLANDO,FL,(407) 685-9800,CONVENTION CENTER COMPLEX,OPEN,ORANGE,12095,USA,28.4247285153088,-81.4695684867962,561920,CONVENTION AND TRADE SHOW ORGANIZERS,http://www.occc.net/,2015/06/29 00:00:00+00,2018/10/25 00:00:00+00,http://www.occc.net/Planner-Interactive-Floor-Plans,ORANGE COUNTY CONVENTION CENTER,NOT AVAILABLE,NOT AVAILABLE,Y,Y,Y,N,N,N,Y,Y
26,-9071950.1325,3294509.4328,27,965,CARIBE ROYALE CONVENTION CENTER,ORLANDO,FL,(407) 238-8000,CONVENTION CENTER,OPEN,ORANGE,12095,USA,28.3605659486597,-81.494714607693,561920,CONVENTION AND TRADE SHOW ORGANIZERS,http://www.cariberoyalemeetings.com/,2015/06/29 00:00:00+00,2018/10/25 00:00:00+00,https://www.cariberoyale.com/meeting-facilities-en.html,NOT APPLICABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y,Y,Y,N,Y,Y,Y
27,-9199566.3342,3220859.2661,28,993,THE COLISEUM,SAINT PETERSBURG,FL,(717) 892-5202,CONVENTION CENTER,OPEN,PINELLAS,12103,USA,27.7767750219498,-82.6411104526851,561920,CONVENTION AND TRADE SHOW ORGANIZERS,http://www.stpete.org/attractions/coliseum.php,2015/06/30 00:00:00+00,2018/10/25 00:00:00+00,http://www.stpete.org/attractions/rental_and_box_office.php,NOT APPLICABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y,Y,N,N,N,N,N
28,-9018111.8948,3404745.0855,29,883,OCEAN CENTER,DAYTONA BEACH,FL,(386) 254-4500,CONVENTION CENTER,OPEN,VOLUSIA,12127,USA,29.2283733949163,-81.011077490034,561920,CONVENTION AND TRADE SHOW ORGANIZERS,http://www.oceancenter.com/,2015/06/29 00:00:00+00,2018/10/25 00:00:00+00,http://www.oceancenter.com/planners/interactive-floor-plans.stml,NOT APPLICABLE,NOT AVAILABLE,NOT AVAILABLE,Y,Y,Y,Y,Y,N,Y,Y
29,-9395259.7106,3996724.9901,30,1048,GEORGIA WORLD CONGRESS CENTER,ATLANTA,GA,(404) 223-4000,CONVENTION CENTER COMPLEX,OPEN,FULTON,13121,USA,33.760774869265,-84.39905396297,561920,CONVENTION AND TRADE SHOW ORGANIZERS,https://www.gwcca.org/gwcc/,2015/06/25 00:00:00+00,2018/10/29 00:00:00+00,https://www.gwcca.org/event-planning-guide/events-spaces/,GEORGIA WORLD CONGRESS CENTER,NOT AVAILABLE,NOT AVAILABLE,Y,Y,Y,N,Y,Y,Y,Y
30,-9394256.4151,3996825.1419,31,1044,ATLANTA CONVENTION CENTER AT AMERICASMART,ATLANTA,GA,(888) 263-7456,CONVENTION CENTER,OPEN,FULTON,13121,USA,33.7615228280447,-84.3900412063223,561920,CONVENTION AND TRADE SHOW ORGANIZERS,https://www.atlconventioncenter.com/,2015/06/25 00:00:00+00,2018/10/29 00:00:00+00,https://www.atlconventioncenter.com/,NOT APPLICABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y,Y,Y,N,N,N,Y
31,-9393655.5098,3995981.2588,32,1053,THE LOUDERMILK CENTER,ATLANTA,GA,(404) 507-1690,CONVENTION CENTER,OPEN,FULTON,13121,USA,33.7552202961443,-84.3846431822299,561920,CONVENTION AND TRADE SHOW ORGANIZERS,http://www.loudermilkcenter.com/,2015/06/25 00:00:00+00,2018/10/29 00:00:00+00,https://loudermilkcenter.com/meeting-space/,NOT APPLICABLE,NOT AVAILABLE,NOT AVAILABLE,Y,Y,Y,N,N,N,N,Y
32,-9391588.3051,3982665.2567,33,1051,ATLANTA EXPO CENTER NORTH BUILDING,ATLANTA,GA,(404) 361-2000,CONVENTION CENTER COMPLEX,OPEN,FULTON,13121,USA,33.6557085621005,-84.3660731660437,561920,CONVENTION AND TRADE SHOW ORGANIZERS,http://www.atlantaexpocenters.com/,2015/06/25 00:00:00+00,2018/10/29 00:00:00+00,http://www.atlantaexpocenters.com/,ATLANTA EXPO CENTERS,NOT AVAILABLE,NOT AVAILABLE,N,N,Y,N,N,N,N,N
33,-9361340.7413,4027412.0088,34,1077,INFINITE ENERGY FORUM,DULUTH,GA,(770) 813-7500,CONVENTION CENTER COMPLEX,OPEN,GWINNETT,13135,USA,33.9896473939597,-84.0943546775335,561920,CONVENTION AND TRADE SHOW ORGANIZERS,https://www.infiniteenergycenter.com/,2015/06/25 00:00:00+00,2018/10/29 00:00:00+00,https://www.infiniteenergycenter.com/rent-the-center/floor-plans,GWINNETT CENTER,NOT AVAILABLE,NOT AVAILABLE,Y,Y,Y,N,Y,N,Y,Y
34,-9371134.5502,4018454.8635,35,1107,NORTH ATLANTA TRADE CENTER,NORCROSS,GA,(770) 279-9899,CONVENTION CENTER,OPEN,GWINNETT,13135,USA,33.9229058986883,-84.1823339594446,561920,CONVENTION AND TRADE SHOW ORGANIZERS,http://natcshows.com/photos/,2015/07/08 00:00:00+00,2018/10/29 00:00:00+00,http://natcshows.com/facilityrental.html,NOT APPLICABLE,NOT AVAILABLE,NOT AVAILABLE,N,N,Y,N,N,N,N,N
35,-9462756.2405,4131226.838,36,1074,NORTHWEST GEORGIA TRADE AND CONVENTION CENTER,DALTON,GA,(706) 272-7676,CONVENTION CENTER,OPEN,WHITFIELD,13313,USA,34.7593586185055,-85.0053856071599,561920,CONVENTION AND TRADE SHOW ORGANIZERS,https://daltonconventioncenter.com/,2016/02/26 00:00:00+00,2018/10/29 00:00:00+00,https://daltonconventioncenter.com/facility/,NOT APPLICABLE,NOT AVAILABLE,NOT AVAILABLE,Y,Y,Y,N,N,Y,Y,Y
36,-12976673.7762,5401139.14,37,1423,NAMPA CIVIC CENTER,NAMPA,ID,(208) 468-5500,CONVENTION CENTER,OPEN,CANYON,16027,USA,43.58302286931,-116.571443901515,561920,CONVENTION AND TRADE SHOW ORGANIZERS,https://nampaciviccenter.com/,2015/10/15 00:00:00+00,2018/10/31 00:00:00+00,https://nampaciviccenter.com/maps-directions/facility-layout/,NOT APPLICABLE,NOT AVAILABLE,NOT AVAILABLE,Y,Y,N,Y,N,Y,N,Y
37,-10749113.0674,4746747.8192,38,1856,MANHATTAN CONFERENCE CENTER,MANHATTAN,KS,(785) 532-9116,CONVENTION CENTER,OPEN,RILEY,20161,USA,39.1748461521284,-96.5609255913429,561920,CONVENTION AND TRADE SHOW ORGANIZERS,http://www.manhattanconferencecenter.com/,2015/10/05 00:00:00+00,2018/11/01 00:00:00+00,http://www.manhattanconferencecenter.com/d/manhattanconferencecenter/media/pdf/HGI_Manhattan_Meeting_Space_Capacity_Chart.pdf,NOT APPLICABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y,N,Y,N,N,N,Y
38,-10125386.1518,3529010.3407,39,1956,SAVOY ARENA,GONZALES,LA,(225) 450-1009,MULTIUSE COMPLEX,OPEN,ASCENSION,22005,USA,30.1978755343407,-90.9578913777372,561920,CONVENTION AND TRADE SHOW ORGANIZERS,http://www.lamardixonexpocenter.com/,2015/09/16 00:00:00+00,2018/11/01 00:00:00+00,http://www.lamardixonexpocenter.com/portfolio/new-building/,LAMAR DIXON EXPO CENTER,NOT AVAILABLE,NOT AVAILABLE,Y,Y,N,N,N,N,N,N
39,-10436406.4314,3831284.5371,40,1988,SHREVEPORT CONVENTION CENTER,SHREVEPORT,LA,(318) 841-4000,CONVENTION CENTER,OPEN,CADDO,22017,USA,32.5163686530909,-93.7518340859742,561920,CONVENTION AND TRADE SHOW ORGANIZERS,http://www.shreveportcenter.com/,2015/09/03 00:00:00+00,2018/11/05 00:00:00+00,http://www.shreveportcenter.com/floor-plans/,NOT APPLICABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y,Y,Y,N,N,Y,Y
40,-10435493.4382,3831073.9758,41,1989,SHREVEPORT RIVERVIEW HALL,SHREVEPORT,LA,(318) 673-5100,CONVENTION CENTER,OPEN,CADDO,22017,USA,32.5147736505836,-93.7436325288181,561920,CONVENTION AND TRADE SHOW ORGANIZERS,http://myspar.org/376/RiverView-Hall-and-Theater,2015/09/03 00:00:00+00,2018/11/05 00:00:00+00,http://myspar.org/294/Facility-Rental-Fees,NOT APPLICABLE,NOT AVAILABLE,NOT AVAILABLE,Y,N,Y,N,N,N,N,N
41,-10036858.2296,3491377.3047,42,1997,JOHN A. ALARIO CENTER,WESTWEGO,LA,(504) 349-5525,CONVENTION CENTER,OPEN,JEFFERSON,22051,USA,29.9052568940905,-90.1626315218272,561920,CONVENTION AND TRADE SHOW ORGANIZERS,https://www.visitjeffersonparish.com/listing/alario-center-segnette-field/335/,2015/09/02 00:00:00+00,2018/11/05 00:00:00+00,https://www.visitjeffersonparish.com/listing/alario-center-segnette-field/335/,NOT APPLICABLE,NOT AVAILABLE,NOT AVAILABLE,N,N,Y,Y,Y,N,N,Y
42,-10045541.9682,3508592.7315,43,1962,PONTCHARTRAIN CONVENTION AND CIVIC CENTER,KENNER,LA,(504) 465-9985,CONVENTION CENTER,OPEN,JEFFERSON,22051,USA,30.0392240888207,-90.2406388725858,561920,CONVENTION AND TRADE SHOW ORGANIZERS,http://www.pontchartraincenter.com/,2015/09/02 00:00:00+00,2018/11/01 00:00:00+00,http://www.pontchartraincenter.com/book-your-event/floor-plans/,NOT APPLICABLE,NOT AVAILABLE,NOT AVAILABLE,N,N,Y,Y,N,Y,N,Y
43,-9993348.387,3531605.7294,44,1990,NORTHSHORE HARBOR CENTER,SLIDELL,LA,(985) 781-3650,CONVENTION CENTER,OPEN,SAINT TAMMANY,22103,USA,30.218024278098,-89.7717759559955,561920,CONVENTION AND TRADE SHOW ORGANIZERS,http://www.northshoreharborcenter.com/,2015/09/02 00:00:00+00,2018/11/05 00:00:00+00,http://www.northshoreharborcenter.com/ae_floorplan.html,NOT APPLICABLE,NOT AVAILABLE,NOT AVAILABLE,N,N,Y,N,N,N,N,Y
44,-10099472.1063,3449694.4347,45,1961,HOUMA-TERREBONNE CIVIC CENTER,HOUMA,LA,(985) 850-4657,CONVENTION CENTER,OPEN,TERREBONNE,22109,USA,29.5801424605062,-90.7251015462992,561920,CONVENTION AND TRADE SHOW ORGANIZERS,http://www.houmaciviccenter.com/,2015/09/02 00:00:00+00,2018/11/01 00:00:00+00,http://www.houmaciviccenter.com/plan/layouts/,NOT APPLICABLE,NOT AVAILABLE,NOT AVAILABLE,N,N,Y,Y,N,N,N,Y
45,-9245062.9424,5210093.3799,46,2243,COBO CENTER,DETROIT,MI,(313) 877-8777,CONVENTION CENTER,OPEN,WAYNE,26163,USA,42.3270289830014,-83.0498134377399,561920,CONVENTION AND TRADE SHOW ORGANIZERS,https://www.cobocenter.com/,2015/07/22 00:00:00+00,2018/11/06 00:00:00+00,http://www.cobocenter.com/planners/floor_plans_1,NOT APPLICABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y,Y,Y,N,N,Y,Y
46,-9274968.4867,5218517.3149,47,2293,BURTON MANOR BANQUET AND CONFERENCE CENTER,LIVONIA,MI,(734) 427-9110,CONVENTION CENTER,OPEN,WAYNE,26163,USA,42.3829505428334,-83.3184595128961,561920,CONVENTION AND TRADE SHOW ORGANIZERS,https://www.burtonmanor.net/,2015/07/22 00:00:00+00,2018/11/06 00:00:00+00,https://www.burtonmanor.net/,NOT APPLICABLE,NOT AVAILABLE,NOT AVAILABLE,N,N,N,N,N,N,Y,Y
47,-10481562.966,5710423.9286,48,2482,RIVER'S EDGE CONVENTION CENTER,SAINT CLOUD,MN,(320) 255-7272,CONVENTION CENTER,OPEN,STEARNS,27145,USA,45.5619297667454,-94.1574821378903,561920,CONVENTION AND TRADE SHOW ORGANIZERS,http://www.stcloudriversedgeconventioncenter.com/,2015/08/21 00:00:00+00,2018/11/06 00:00:00+00,http://www.stcloudriversedgeconventioncenter.com/135/Building-Layouts,NOT APPLICABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y,Y,N,N,N,N,Y
48,-10074676.5996,4688613.8036,49,2579,SAINT CHARLES CONVENTION CENTER,SAINT CHARLES,MO,(636) 669-3000,CONVENTION CENTER,OPEN,SAINT CHARLES,29183,USA,38.7688402473796,-90.502359720125,561920,CONVENTION AND TRADE SHOW ORGANIZERS,http://www.stcharlesconventioncenter.com/,2015/08/25 00:00:00+00,2018/11/06 00:00:00+00,http://www.stcharlesconventioncenter.com/floor-plans,NOT APPLICABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y,Y,N,N,N,Y,Y
49,-12390584.7269,6024951.1817,50,2698,THE MANSFIELD CENTER FOR THE PERFORMING ARTS,GREAT FALLS,MT,(406) 455-8495,CONVENTION CENTER,OPEN,CASCADE,30013,USA,47.5053346970386,-111.306516393617,561920,CONVENTION AND TRADE SHOW ORGANIZERS,https://greatfallsmt.net/mansfieldcenter,2015/10/07 00:00:00+00,2018/11/08 00:00:00+00,https://greatfallsmt.net/mansfieldcenter/mansfield-convention-center,NOT APPLICABLE,NOT AVAILABLE,NOT AVAILABLE,Y,N,Y,N,N,N,N,Y
