,OBJECTID,VENUEID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_DATE,NAME2,geometry
394,400,906.0,ALASKA AIRLINES ARENA,3870 MONTLAKE BOULEVARD NE,SEATTLE,WA,98105,NOT AVAILABLE,MULTIUSE,OPEN,10000.0,KINGS,06031,USA,47.652100577000056,-122.30209227299997,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://gohuskies.com/sports/2013/7/2/208565960.aspx,2015-01-30,2018-09-11,HEC EDMUNDSON PAVILION,POINT (-13614606.6348 6049170.695500001)
395,401,907.0,MCKALE MEMORIAL CENTER,1721 E ENKE DRIVE,TUCSON,AZ,85721,NOT AVAILABLE,SINGLE USE,OPEN,14655.0,PIMA,04019,USA,32.23034605200007,-110.94602855699998,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://arizonawildcats.com/sports/2013/4/18/208232685.aspx,2015-01-30,2018-09-11,UNIVERSITY OF ARIZONA ARENA,POINT (-12350455.4045 3793585.2507999986)
396,402,908.0,WELLS FARGO ARENA,600 EAST VETERANS WAY,TEMPE,AZ,85281,NOT AVAILABLE,SINGLE USE,OPEN,14198.0,MARICOPA,04013,USA,33.42448977600003,-111.93093301899995,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://tours.asu.edu/tempe/wells-fargo-arena,2015-01-30,2018-09-11,NOT AVAILABLE,POINT (-12460094.4677 3951784.379900001)
397,403,909.0,ALLAN P. KIRBY SPORTS CENTER,700 PIERCE STREET,EASTON,PA,18402,NOT AVAILABLE,SINGLE USE,OPEN,2644.0,NORTHAMPTON,51131,USA,40.701937249000025,-75.21062830399995,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.goleopards.com/sports/2018/7/26/_facilities_kirby_center_html.aspx,2015-01-30,2018-09-11,KIRBY SPORTS CENTER,POINT (-8372408.845000001 4968476.3873)
398,404,910.0,ALUMNI HALL,DECATUR ROAD AND MCNAIR ROAD,ANNAPOLIS,MD,21402,NOT AVAILABLE,SINGLE USE,OPEN,5710.0,ANNE ARUNDEL,24003,USA,38.98451849800006,-76.48780677999997,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://navysports.com/sports/2018/5/23/facilities-alumni-hall-html.aspx,2015-01-30,2018-09-11,NOT AVAILABLE,POINT (-8514583.7026 4719454.2228000015)
399,405,911.0,BENDER ARENA,4400 NEBRASKA AVENUE NW,WASHINGTON,DC,20016,NOT AVAILABLE,SINGLE USE,OPEN,4500.0,DISTRICT OF COLUMBIA,11001,USA,38.937769994000064,-77.09003998299994,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.aueagles.com/information/facilities/bender_arena,2015-01-30,2018-09-11,NOT AVAILABLE,POINT (-8581623.9961 4712761.574100003)
400,406,912.0,CHRISTL ARENA,700 MILLS ROAD,WEST POINT,NY,10996,NOT AVAILABLE,SINGLE USE,OPEN,5043.0,ORANGE,48361,USA,41.38639677100008,-73.96552736599995,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://goarmywestpoint.com/sports/2015/3/6/GEN_201401014.aspx?id=4,2015-01-30,2018-09-11,HOLLEDER CENTER,POINT (-8233804.842599999 5069503.248899996)
401,407,913.0,BUD WALTON ARENA,1207 LEROY POND DRIVE,FAYETTEVILLE,AR,73701,NOT AVAILABLE,SINGLE USE,OPEN,19368.0,WASHINGTON,48477,USA,36.06156233000007,-94.17819376499995,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.arkansasrazorbacks.com/bud-walton-arena/,2015-01-30,2018-09-11,NOT AVAILABLE,POINT (-10483868.5738 4309095.5634)
402,408,914.0,ALUMNI GYM,WEST HAGGARD AVENUE AND NORTH WILLIAMSON AVENUE,ELON,NC,27244,NOT AVAILABLE,SINGLE USE,OPEN,1607.0,ALAMANCE,37001,USA,36.10349766300004,-79.50532100399994,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://elonphoenix.com/sports/2010/8/16/Fac_0816103912.aspx?id=38,2015-01-30,2018-09-11,KOURY ATHLETIC CENTER,POINT (-8850491.8495 4314871.851899996)
403,409,915.0,HOLMES CENTER,111 RIVERS STREET,BOONE,NC,28608,NOT AVAILABLE,SINGLE USE,OPEN,8325.0,WATAUGA,37189,USA,36.21066209400004,-81.67593557699996,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://theholmescenter.appstate.edu/,2015-01-30,2018-09-11,GEORGE M. HOLMES CONVOCATION CENTER,POINT (-9092123.5585 4329647.002300002)
404,410,916.0,AMERICAN BANK CENTER,1901 SHORELINE BOULEVARD,CORPUS CHRISTI,TX,78401,NOT AVAILABLE,SINGLE USE,OPEN,8000.0,NUECES,48355,USA,27.807306421000078,-97.39349115799996,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://americanbankcenter.com/home/,2015-01-30,2018-09-11,NOT AVAILABLE,POINT (-10841793.8423 3224701.188000001)
405,411,917.0,CONVOCATION CENTER (ARKANSAS),217 OLYMPIA DRIVE,JONESBORO,AR,72401,NOT AVAILABLE,SINGLE USE,OPEN,10038.0,CRAIGHEAD,05031,USA,35.84538794300005,-90.67048380399996,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://astateconvo.com/,2015-01-30,2018-09-11,THE CONVO,POINT (-10093392.087 4279367.793399997)
406,412,918.0,DAVEY WHITNEY COMPLEX,1000 ASU DRIVE,ALCORN,MS,39096,NOT AVAILABLE,SINGLE USE,OPEN,7000.0,CLAIBORNE,28021,USA,31.873269966000066,-91.13325993299998,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://alcornsports.com/sports/2015/3/5/GEN_0305153532.aspx,2015-01-30,2018-09-11,NOT AVAILABLE,POINT (-10144908.0901 3746686.8127000034)
407,413,919.0,DUNN-OLIVER ACADOME,SOUTH UNIVERSITY DRIVE AND ROBERT C. HATCH DRIVE,MONTGOMERY,AL,36106,NOT AVAILABLE,SINGLE USE,OPEN,7400.0,MONTGOMERY,20125,USA,32.361820272000045,-86.29318997699994,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://bamastatesports.com/sports/2012/6/18/MBB_0618123941.aspx?tab=dunn-oliveracadome,2015-01-30,2018-09-11,NOT AVAILABLE,POINT (-9606113.9672 3810899.4319999963)
408,414,920.0,KENNETH L. JOHNSON COMPLEX,1542 L. A. PREXY DAVIS DRIVE,PINE BLUFF,AR,71601,NOT AVAILABLE,SINGLE USE,OPEN,4500.0,JEFFERSON,22051,USA,34.24595984000007,-92.02405921899998,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://uapblionsroar.com/index.aspx,2015-01-30,2018-09-11,HUBERT O. CLEMMONS BASKETBALL ARENA,POINT (-10244071.413 4061876.4321999997)
409,415,921.0,T.M. ELMORE GYMNASIUM,DAVIS ROAD NORTHEAST,NORMAL,AL,35811,NOT AVAILABLE,SINGLE USE,OPEN,6000.0,MADISON,30057,USA,34.78527947600003,-86.57520119899993,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://aamusports.com/sports/2013/6/19/T.%20M.%20Elmore.aspx?id=34,2015-01-30,2018-09-13,NOT AVAILABLE,POINT (-9637507.3128 4134739.632600002)
410,416,922.0,TACO BELL ARENA,1910 UNIVERSITY DRIVE,BOISE,ID,83725,NOT AVAILABLE,SINGLE USE,OPEN,12380.0,ADA,16001,USA,43.603561187000025,-116.19881720399997,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://tacobellarena.com/,2015-01-30,2018-09-13,NOT AVAILABLE,POINT (-12935193.161899999 5404295.932400003)
411,417,923.0,GERSTEN PAVILION,1 LMU DRIVE,LOS ANGELES,CA,90045,NOT AVAILABLE,SINGLE USE,OPEN,4156.0,LOS ANGELES,06037,USA,33.96764119000005,-118.41549131999994,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://lmulions.com/sports/2018/5/29/school-bio-gersten-html.aspx,2015-01-30,2018-09-13,ALBERT GERSTEN PAVILION,POINT (-13181952.195799999 4024457.855700001)
412,418,924.0,AGGANIS ARENA,925 COMMONWEALTH AVENUE,BOSTON,MA,02215,NOT AVAILABLE,SINGLE USE,OPEN,7200.0,SUFFOLK,25025,USA,42.35224942000008,-71.11776323899994,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.agganisarena.com/,2015-01-30,2018-09-13,NOT AVAILABLE,POINT (-7916793.190099999 5213891.618600003)
413,419,380.0,PPG PAINTS ARENA,1001 FIFTH AVENUE,PITTSBURGH,PA,15219,NOT AVAILABLE,MULTIUSE,OPEN,19000.0,ALLEGHENY,42003,USA,40.43958382100004,-79.98944695599994,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.ppgpaintsarena.com/,2015-01-30,2018-09-13,NOT AVAILABLE,POINT (-8904384.504 4930028.539099999)
414,420,926.0,MCCANN FIELD HOUSE,3399 N RD,POUGHKEEPSIE,NY,12601,NOT AVAILABLE,SINGLE USE,OPEN,3200.0,DUTCHESS,36027,USA,41.71744271800003,-73.93537741799997,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://goredfoxes.com/facilities/?id=6,2015-01-30,2018-09-13,MCCANN FIELD HOUSE,POINT (-8230448.5658 5118747.256999999)
415,421,927.0,GALLAGHER CENTER,2009 NIAGARA UNIVERSITY,NIAGARA FALLS,NY,14109,NOT AVAILABLE,SINGLE USE,OPEN,2400.0,NIAGARA,36063,USA,43.137114773000064,-79.03803883199998,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://purpleeagles.com/sports/2011/8/1/GallagherCenter.aspx?&tab=5,2015-01-30,2018-09-13,JOHN J. GALLAGHER CENTER,POINT (-8798474.2361 5332865.455300003)
416,422,928.0,KOESSLER ATHLETIC CENTER,2001 MAIN STREET,BUFFALO,NY,14208,NOT AVAILABLE,SINGLE USE,OPEN,2196.0,ERIE,39043,USA,42.92097999500004,-78.85764998599996,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://gogriffs.com/sports/2008/6/27/1498522.aspx#kac,2015-01-30,2018-09-13,NOT AVAILABLE,POINT (-8778393.4416 5299951.920299999)
417,423,929.0,CONVOCATION CENTER (MICHIGAN),799 NORTH HEWITT ROAD,YPSILANTI,MI,48197,NOT AVAILABLE,SINGLE USE,OPEN,8824.0,WASHTENAW,26161,USA,42.25423678400006,-83.64743433499996,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://www.emich.edu/bookemu/venues/convocation/index.php,2015-01-30,2018-09-13,EMU CONVOCATION CENTER,POINT (-9311589.7963 5199139.288199998)
418,424,930.0,CONVOCATION CENTER (OHIO),95 RICHLAND AVENUE,ATHENS,OH,45701,NOT AVAILABLE,SINGLE USE,OPEN,13080.0,ATHENS,39009,USA,39.32329002300003,-82.10595998799994,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.ohiobobcats.com/facilities/convocation-center/index,2015-01-30,2018-09-13,NOT AVAILABLE,POINT (-9139993.657 4768086.461099997)
419,425,931.0,SAVAGE  ARENA,2801 W BANCROFT ST,TOLEDO,OH,43606,NOT AVAILABLE,SINGLE USE,OPEN,8300.0,LUCAS,19117,USA,41.66014984100008,-83.60979942699998,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://utrockets.com/news/2007/12/13/Savage_Arena.aspx,2015-01-30,2018-09-13,JOHN F. SAVAGE ARENA,POINT (-9307400.2975 5110206.703000002)
420,426,932.0,BURR GYMNASIUM,2400 6TH ST NW,WASHINGTON,DC,20001,NOT AVAILABLE,SINGLE USE,OPEN,2700.0,DISTRICT OF COLUMBIA,11001,USA,38.92648002000004,-77.02221998399995,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://hubison.com/sports/2013/7/1/GEN_0701134701.aspx?tab=burrgymnasium,2015-01-30,2018-09-13,NOT AVAILABLE,POINT (-8574074.3084 4711145.931000002)
421,427,933.0,HAMPTON CONVOCATION CENTER,100 E QUEEN ST,HAMPTON,VA,23668,NOT AVAILABLE,SINGLE USE,OPEN,7200.0,HAMPTON,51650,USA,37.01984775500006,-76.33101037699998,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://hucc.hamptonu.edu/,2015-01-30,2018-09-13,NOT AVAILABLE,POINT (-8497129.2069 4441873.669500001)
422,428,934.0,CORBETT SPORTS CENTER,1601 EAST MARKET STREET,GREENSBORO,NC,27401,NOT AVAILABLE,SINGLE USE,OPEN,5700.0,GUILFORD,37081,USA,36.076752104000036,-79.76882563799995,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.ncataggies.com/ViewArticle.dbml?&DB_OEM_ID=24500&ATCLID=204936497,2015-01-30,2018-09-13,ELLIS F. CORBETT SPORTS CENTER,POINT (-8879825.0512 4311187.489)
423,429,935.0,ALFRED LAWSON CENTER,1800 WAHNISH WAY,TALLAHASSEE,FL,32301,NOT AVAILABLE,SINGLE USE,OPEN,9639.0,LEON,48289,USA,30.424264402000063,-84.29052385499995,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.famuathletics.com/ViewArticle.dbml?ATCLID=205111952,2015-01-30,2018-09-13,"ALFRED LAWSON, JR. MULTIPURPOSE CENTER",POINT (-9383178.1942 3558202.4846)
424,430,936.0,TALMADGE L. HILL FIELD HOUSE,1700 EAST COLD SPRING LANE,BALTIMORE,MD,21239,NOT AVAILABLE,SINGLE USE,OPEN,4250.0,BALTIMORE (CITY),24510,USA,39.34236117300003,-76.58534381599998,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.morganstatebears.com/sports/2003/7/17/Directions.aspx?&tab=3,2015-01-30,2018-09-13,HILL FIELD HOUSE,POINT (-8525441.4758 4770831.197099999)
425,431,937.0,JOSEPH ECHOLS MEMORIAL HALL,700 PARK AVE,NORFOLK,VA,23504,NOT AVAILABLE,SINGLE USE,OPEN,4500.0,NORFOLK,25021,USA,36.84807224800005,-76.25815106999994,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://nsuspartans.com/sports/2007/10/25/GEN_1025075917.aspx?,2015-01-30,2018-09-13,NOT AVAILABLE,POINT (-8489018.5459 4417951.122199997)
426,432,938.0,AMERICA FIRST EVENTS CENTER,351 WEST CENTER STREET,CEDAR CITY,UT,84720,NOT AVAILABLE,SINGLE USE,OPEN,5300.0,IRON,49021,USA,37.67551835200004,-113.07293609899995,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://suutbirds.com/sports/2007/11/1/1302653.aspx,2015-01-30,2018-09-13,NOT AVAILABLE,POINT (-12587221.669 4533688.305799998)
427,433,939.0,INDIANA FARMERS COLISEUM,1202 E 38TH ST,INDIANAPOLIS,IN,46205,NOT AVAILABLE,SINGLE USE,OPEN,6800.0,MARION,41047,USA,39.82763363300006,-86.13504888599994,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://iupuijags.com/sports/2013/5/28/MBB_0528131958.aspx?path=mbball,2015-01-30,2018-09-13,NOT AVAILABLE,POINT (-9588509.7814 4840925.992299996)
428,434,940.0,CHARLES KOCH ARENA,1845 FAIRMOUNT STREET,WICHITA,KS,67260,NOT AVAILABLE,SINGLE USE,OPEN,10506.0,SEDGWICK,08115,USA,37.721723094000026,-97.29744555499997,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://goshockers.com/sports/2015/4/29/Charles_Koch_Arena_Facility.aspx?id=1,2015-01-30,2018-09-13,THE ROUNDHOUSE,POINT (-10831102.0947 4540188.861900002)
429,435,941.0,HULMAN ARENA,200 NORTH 8TH STREET,TERRE HAUTE,IN,47807,NOT AVAILABLE,SINGLE USE,OPEN,10200.0,VIGO,18167,USA,39.46858003500006,-87.40524001799997,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://hulmancenter.org/,2015-01-30,2018-09-13,NOT AVAILABLE,POINT (-9729906.8115 4789015.638300002)
430,436,942.0,JQH ARENA,685 SOUTH JOHN Q. HAMMONS PARKWAY,SPRINGFIELD,MO,65807,NOT AVAILABLE,SINGLE USE,OPEN,11000.0,GREENE,19073,USA,37.202082321000034,-93.28313460999999,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://jqharena.missouristate.edu/,2015-01-30,2018-09-13,JOHN Q. HAMMONS STUDENT CENTER,POINT (-10384231.0444 4467312.013599999)
431,437,943.0,KNAPP ARENA,2601 FOREST AVENUE,DES MOINES,IA,50311,NOT AVAILABLE,SINGLE USE,OPEN,7152.0,POLK,41053,USA,41.604799995000064,-93.65223998699997,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://godrakebulldogs.com/facilities/?id=4,2015-01-30,2018-09-13,KNAPP CENTER,POINT (-10425319.667 5101963.006499998)
432,438,944.0,VIEJAS ARENA,5500 CANYON CREST DRIVE,SAN DIEGO,CA,92115,NOT AVAILABLE,SINGLE USE,OPEN,12414.0,SAN DIEGO,06073,USA,32.77380170200007,-117.07451676099998,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://www.as.sdsu.edu/viejas_arena/,2015-01-30,2018-09-13,COX ARENA,POINT (-13032675.5907 3865318.266999997)
433,439,945.0,ED & RAE SCHOLLMAIER ARENA,2900 STADIUM DRIVE,FORT WORTH,TX,76109,NOT AVAILABLE,SINGLE USE,OPEN,6800.0,TARRANT,48439,USA,32.70882646900003,-97.36671429399996,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://gofrogs.com/sports/2018/7/13/facilities-tcu-facilities-basketball-html.aspx,2015-01-30,2018-09-13,NOT AVAILABLE,POINT (-10838813.0554 3856719.0161999986)
434,440,946.0,HUNTSMAN CENTER,1825 EAST SOUTH CAMPUS ROAD,SALT LAKE CITY,UT,84112,NOT AVAILABLE,SINGLE USE,OPEN,15000.0,SALT LAKE,49035,USA,40.76206938100006,-111.83877634199996,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://stadium.utah.edu/about/arena/,2015-01-30,2018-09-14,JON M. HUNTSMAN CENTER,POINT (-12449835.633299999 4977310.042999998)
435,442,948.0,DEGOL ARENA,140 LAKEVIEW DRIVE,LORETTO,PA,15940,NOT AVAILABLE,SINGLE USE,OPEN,3500.0,CAMBRIA,42021,USA,40.50450426900005,-78.64102382699997,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://sfuathletics.com/facilities/?id=3,2015-01-30,2018-09-14,MAURICE STOKES ATHLETICS CENTER,POINT (-8754278.7279 4939528.599600002)
436,443,949.0,DETRICK GYMNASIUM,1615 STANLEY ST,NEW BRITAIN,CT,06053,NOT AVAILABLE,SINGLE USE,OPEN,3200.0,HARTFORD,09003,USA,41.69316444100008,-72.76504879799995,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.ccsubluedevils.com/facilities/detrick/index,2015-01-30,2018-09-14,WILLIAM H. DETRICK GYMNASIUM,POINT (-8100168.1797 5115127.205899999)
437,444,950.0,KNOTT ARENA,16300 OLD EMMITSBURG ROAD,EMMITSBURG,MD,21727,NOT AVAILABLE,SINGLE USE,OPEN,3121.0,FREDERICK,51069,USA,39.679498849000026,-77.34642212899996,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.msmary.edu/student-life/recreation/ARCC/,2015-01-30,2018-09-14,NOT AVAILABLE,POINT (-8610164.3261 4819476.647699997)
438,445,951.0,CHILES CENTER,5000 N WILLAMETTE BLVD,PORTLAND,OR,97203,NOT AVAILABLE,SINGLE USE,OPEN,4852.0,MULTNOMAH,41051,USA,45.57512077300004,-122.72856710899998,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://portlandpilots.com/sports/2008/8/11/MBB_0811084643.aspx,2015-01-30,2018-09-14,EARLE A. & VIRGINIA H. CHILES CENTER,POINT (-13662081.5964 5712521.498999998)
439,446,952.0,FIRESTONE FIELDHOUSE,24225 PACIFIC COAST HWY,MALIBU,CA,90263,NOT AVAILABLE,SINGLE USE,OPEN,3104.0,LOS ANGELES,06037,USA,34.03856000700006,-118.70962985999995,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://spark.adobe.com/page/AnSKc/,2015-01-30,2018-09-14,NOT AVAILABLE,POINT (-13214695.5483 4033980.868900001)
440,447,953.0,JENNY CRAIG PAVILION,5998 ALCALA PARK WAY,SAN DIEGO,CA,92110,NOT AVAILABLE,SINGLE USE,OPEN,5100.0,SAN DIEGO,06073,USA,32.77444451000002,-117.18377205699994,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://usdtoreros.com/sports/2018/5/23/facilities-usd-10-facilities-html.aspx,2015-01-30,2018-09-14,SLIM GYM,POINT (-13044837.8346 3865403.371799998)
441,448,954.0,LEAVEY CENTER,500 EL CAMINO REAL,SANTA CLARA,CA,95053,NOT AVAILABLE,SINGLE USE,OPEN,4700.0,SANTA CLARA,06085,USA,37.349167848000036,-121.93524634199997,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://www.santaclarabroncos.com/information/facilities/leavey,2015-01-30,2018-09-14,LEAVEY EVENT CENTER,POINT (-13573769.532499999 4487888.68)
442,449,955.0,FLEISHER CENTER,80 LOCK STREET,NEWARK,NJ,07103,NOT AVAILABLE,OTHER,OPEN,1500.0,ESSEX,25009,USA,40.74309999600007,-74.17987001399996,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.njithighlanders.com/sports/2008/8/27/directions.aspx?tab=facilties,2015-01-30,2019-01-06,ESTELLE AND ZOOM FLEISHER ATHLETIC CENTER,POINT (-8257665.357100001 4974522.500699997)
443,450,957.0,DUNKIN' DONUTS CENTER,1 LA SALLE SQUARE,PROVIDENCE,RI,02903,NOT AVAILABLE,SINGLE USE,OPEN,13106.0,PROVIDENCE,44007,USA,41.823662857000045,-71.41822188299994,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.dunkindonutscenter.com/,2015-01-30,2018-09-14,NOT AVAILABLE,POINT (-7950240.0934 5134601.485299997)
444,451,958.0,JOYCE CENTER,ANGELA BOULEVARD AND MOOSE KRAUSE CIRCLE,NOTRE DAME,IN,46637,NOT AVAILABLE,SINGLE USE,OPEN,11418.0,SAINT JOSEPH,18141,USA,41.697923107000065,-86.23128188899994,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://und.com/sports/2018/8/7/facilities-joyce-center-fieldhouse-html.aspx,2015-01-30,2018-09-14,PURCELL PAVILION AT EDMUND P JOYCE CENTER,POINT (-9599222.3903 5115836.646700002)
445,452,959.0,FIFTH THIRD ARENA AT SHOEMAKER CENTER,2700 O'VARSITY WAY,CINCINNATI,OH,45221,NOT AVAILABLE,SINGLE USE,OPEN,13176.0,HAMILTON,20075,USA,39.13114157700005,-84.51416219199996,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://gobearcats.com/facilities/?id=1003,2015-01-30,2018-09-14,NOT AVAILABLE,POINT (-9408073.5 4740473.924900003)
446,453,960.0,KFC YUM! CENTER,1 ARENA PLAZA,LOUISVILLE,KY,40202,NOT AVAILABLE,SINGLE USE,OPEN,22090.0,JEFFERSON,22051,USA,38.25782064400005,-85.75373385599994,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.kfcyumcenter.com/,2015-01-30,2018-09-14,NOT AVAILABLE,POINT (-9546061.9865 4615911.519199997)
447,454,961.0,GAMPEL PAVILION,2098 HILLSIDE ROAD,STORRS,CT,06269,NOT AVAILABLE,SINGLE USE,OPEN,9882.0,TOLLAND,09013,USA,41.80525114100004,-72.25450072299998,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://uconnhuskies.com/facilities/?id=3,2015-01-30,2018-09-14,HARRY A. GAMPEL PAVILION,POINT (-8043334.228 5131851.5035)
448,455,962.0,XL CENTER,1 CIVIC CENTER PLAZA,HARTFORD,CT,06103,NOT AVAILABLE,SINGLE USE,OPEN,16294.0,HARTFORD,09003,USA,41.768460024000035,-72.67704001599998,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.xlcenter.com/,2015-01-30,2018-09-14,NOT AVAILABLE,POINT (-8090371.0868999995 5126358.732699998)
449,456,963.0,BRICK BREEDEN FIELDHOUSE,1 BOBCAT CIRCLE,BOZEMAN,MT,59715,NOT AVAILABLE,SINGLE USE,OPEN,7250.0,GALLATIN,30031,USA,45.66330680000004,-111.05057274199999,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://brickbreeden.com/,2015-01-30,2018-09-14,WORTHINGTON ARENA,POINT (-12362093.2099 5726557.092100002)
450,457,964.0,BANK OF COLORADO ARENA,14TH AVENUE AND 21ST STREET,GREELY,CO,80631,NOT AVAILABLE,SINGLE USE,OPEN,5000.0,WELD,08123,USA,40.40224720100008,-104.70304955799998,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://uncbears.com/news/2014/11/14/GEN_1114145219.aspx,2015-01-30,2018-09-14,NOT AVAILABLE,POINT (-11655490.1613 4924569.0820999965)
